feature_number,RT,mz,RI,Name,CAS Num,Formula,Total Score,HRF Score,RHRF Score,SI,RSI,Elements Found[%],Molecular Weight,Theo. Mol. Mass,Observed Mol. Mass,DeltaMass [Da],DeltaMass [ppm],M+ In Lib,M+ found,Selected,Library,Library Hit key,Library ID Number,Library RI,RI Column type,RI Delta,RI Diff[%],Sample1,Sample2,Sample47,Sample48,blank_10,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,blank_11,Sample58,Sample59,Sample60,Sample61,Sample62,Sample63,blank_12,Sample64,Sample65,Sample66,Sample67,Sample68,Sample69,Sample70,Sample71,blank_13,Sample72,Sample73,Sample74,Sample75,Sample76,Sample77,Sample78,Sample79,Sample80,Sample81,blank_14,Sample82,Sample83,Sample84,Sample85,Sample86,blank_15,Sample87,Sample88,Sample89,Sample90,Sample91,blank_1,Sample3,Sample4,Sample5,Sample6,Sample7,blank_2,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,blank_3,Sample16,Sample17,Sample18,Sample19,blank_4,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,blank_5,Sample27,Sample28,Sample29,Sample30,Sample31,blank_6,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,blank_7,Sample43,Sample44,blank_8,Sample45,Sample46,blank_9,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,QC_1,QC_2,QC_3,QC_4,QC_8,QC_9,QC_10,QC_11,QC_12,QC_13,QC_14,QC_15,QC_5,QC_6,QC_7,tracers_1,tracers_2,tracers_3,tracers_4,tracers_5,tracers_6,Avg TIC
group_1,4.769,92.05759,,"1,4-Pentadiene, 3-ethenyl-",26456-63-3,C7 H10,97.6,82.7,100,768,877,100,94.07825,94.0777,,,,True,False,True,mainlib,mainlib60745,60745,,,,,633,108,10628,617.5,21903,102169,14956,20670,2235,58302,58463,4692,1401.0,7080.0,44890.0,543.0,40520.0,52954.0,5992.0,35362.0,39558.0,1521.0,54290.0,1744.0,77885.0,54877.0,1809.0,69391.0,83610.0,65493.0,23075.0,5316.0,164437.0,35389.0,964.0,137853.0,90404.0,68559.0,23166.0,21270.0,183808.0,417368.0,1303931.0,1501393.0,16567.0,9131.0,529020.0,99582.0,719076.0,109187.0,246905.0,20674.0,295437.0,5771130.0,1505547.0,28081.0,79.5,13583.0,163046.0,649.0,76293.0,1947.0,70429.0,39670.0,44789.0,31249.0,6667.0,102997.0,87078.0,77.5,10114.0,57772.0,8735.0,66980.0,2349.0,19209.0,101298.0,947.0,34838.0,42168.0,20249.0,7953.0,3689.0,95066.0,1914.0,47652.0,1971.0,42695.0,15423.0,6491.0,91786.0,27558.0,2619.0,34155.0,3711.0,2895.0,8679.0,158425.0,19974.0,407.0,41252.0,120345.0,159330.0,1180.0,51356.0,41277.0,2035305.0,939270.0,980.0,1240.0,579.0,504.0,9883.0,9412.0,108206.0,680.0,1745.0,97833.0,3052.0,217877.0,402.0,5918.0,3327.0,7643.0,14637.0,2067.0,1986.0,35903.0,10214.0,18721.0,2266.0,982.0,926.0,1171309
group_1,4.769,92.05759,,"Bicyclo[3.1.0]hexane, 6-methylene-",54211-16-4,C7 H10,96.9,82.7,100,646,844,100,94.07825,94.0777,,,,True,False,False,replib,replib13898,13898,,,,,633,108,10628,617.5,21903,102169,14956,20670,2235,58302,58463,4692,1401.0,7080.0,44890.0,543.0,40520.0,52954.0,5992.0,35362.0,39558.0,1521.0,54290.0,1744.0,77885.0,54877.0,1809.0,69391.0,83610.0,65493.0,23075.0,5316.0,164437.0,35389.0,964.0,137853.0,90404.0,68559.0,23166.0,21270.0,183808.0,417368.0,1303931.0,1501393.0,16567.0,9131.0,529020.0,99582.0,719076.0,109187.0,246905.0,20674.0,295437.0,5771130.0,1505547.0,28081.0,79.5,13583.0,163046.0,649.0,76293.0,1947.0,70429.0,39670.0,44789.0,31249.0,6667.0,102997.0,87078.0,77.5,10114.0,57772.0,8735.0,66980.0,2349.0,19209.0,101298.0,947.0,34838.0,42168.0,20249.0,7953.0,3689.0,95066.0,1914.0,47652.0,1971.0,42695.0,15423.0,6491.0,91786.0,27558.0,2619.0,34155.0,3711.0,2895.0,8679.0,158425.0,19974.0,407.0,41252.0,120345.0,159330.0,1180.0,51356.0,41277.0,2035305.0,939270.0,980.0,1240.0,579.0,504.0,9883.0,9412.0,108206.0,680.0,1745.0,97833.0,3052.0,217877.0,402.0,5918.0,3327.0,7643.0,14637.0,2067.0,1986.0,35903.0,10214.0,18721.0,2266.0,982.0,926.0,1171309
group_1,4.769,92.05759,,"TRICYCLO[4.1.0.0(2,4)]HEPTANE",187-26-8,C7 H10,96.8,82.7,100,736,840,100,94.07825,94.0777,,,,True,False,False,mainlib,mainlib60463,60463,,,,,633,108,10628,617.5,21903,102169,14956,20670,2235,58302,58463,4692,1401.0,7080.0,44890.0,543.0,40520.0,52954.0,5992.0,35362.0,39558.0,1521.0,54290.0,1744.0,77885.0,54877.0,1809.0,69391.0,83610.0,65493.0,23075.0,5316.0,164437.0,35389.0,964.0,137853.0,90404.0,68559.0,23166.0,21270.0,183808.0,417368.0,1303931.0,1501393.0,16567.0,9131.0,529020.0,99582.0,719076.0,109187.0,246905.0,20674.0,295437.0,5771130.0,1505547.0,28081.0,79.5,13583.0,163046.0,649.0,76293.0,1947.0,70429.0,39670.0,44789.0,31249.0,6667.0,102997.0,87078.0,77.5,10114.0,57772.0,8735.0,66980.0,2349.0,19209.0,101298.0,947.0,34838.0,42168.0,20249.0,7953.0,3689.0,95066.0,1914.0,47652.0,1971.0,42695.0,15423.0,6491.0,91786.0,27558.0,2619.0,34155.0,3711.0,2895.0,8679.0,158425.0,19974.0,407.0,41252.0,120345.0,159330.0,1180.0,51356.0,41277.0,2035305.0,939270.0,980.0,1240.0,579.0,504.0,9883.0,9412.0,108206.0,680.0,1745.0,97833.0,3052.0,217877.0,402.0,5918.0,3327.0,7643.0,14637.0,2067.0,1986.0,35903.0,10214.0,18721.0,2266.0,982.0,926.0,1171309
group_1,4.769,92.05759,,"1H-[1,2,3]Triazole-4-carboxylic acid, 5-acetylamino-1-benzyl-, phenylamide",,C18 H17 N5 O2,96.2,95.7,100,713,810,100,335.13822,335.13768,,,,True,False,False,mainlib,mainlib75125,75125,,,,,633,108,10628,617.5,21903,102169,14956,20670,2235,58302,58463,4692,1401.0,7080.0,44890.0,543.0,40520.0,52954.0,5992.0,35362.0,39558.0,1521.0,54290.0,1744.0,77885.0,54877.0,1809.0,69391.0,83610.0,65493.0,23075.0,5316.0,164437.0,35389.0,964.0,137853.0,90404.0,68559.0,23166.0,21270.0,183808.0,417368.0,1303931.0,1501393.0,16567.0,9131.0,529020.0,99582.0,719076.0,109187.0,246905.0,20674.0,295437.0,5771130.0,1505547.0,28081.0,79.5,13583.0,163046.0,649.0,76293.0,1947.0,70429.0,39670.0,44789.0,31249.0,6667.0,102997.0,87078.0,77.5,10114.0,57772.0,8735.0,66980.0,2349.0,19209.0,101298.0,947.0,34838.0,42168.0,20249.0,7953.0,3689.0,95066.0,1914.0,47652.0,1971.0,42695.0,15423.0,6491.0,91786.0,27558.0,2619.0,34155.0,3711.0,2895.0,8679.0,158425.0,19974.0,407.0,41252.0,120345.0,159330.0,1180.0,51356.0,41277.0,2035305.0,939270.0,980.0,1240.0,579.0,504.0,9883.0,9412.0,108206.0,680.0,1745.0,97833.0,3052.0,217877.0,402.0,5918.0,3327.0,7643.0,14637.0,2067.0,1986.0,35903.0,10214.0,18721.0,2266.0,982.0,926.0,1171309
group_1,4.769,92.05759,,Cyclopentyl acetylene,54140-30-6,C7 H10,94.6,82.7,100,642,728,100,94.07825,94.0777,,,,True,False,False,mainlib,mainlib60464,60464,,,,,633,108,10628,617.5,21903,102169,14956,20670,2235,58302,58463,4692,1401.0,7080.0,44890.0,543.0,40520.0,52954.0,5992.0,35362.0,39558.0,1521.0,54290.0,1744.0,77885.0,54877.0,1809.0,69391.0,83610.0,65493.0,23075.0,5316.0,164437.0,35389.0,964.0,137853.0,90404.0,68559.0,23166.0,21270.0,183808.0,417368.0,1303931.0,1501393.0,16567.0,9131.0,529020.0,99582.0,719076.0,109187.0,246905.0,20674.0,295437.0,5771130.0,1505547.0,28081.0,79.5,13583.0,163046.0,649.0,76293.0,1947.0,70429.0,39670.0,44789.0,31249.0,6667.0,102997.0,87078.0,77.5,10114.0,57772.0,8735.0,66980.0,2349.0,19209.0,101298.0,947.0,34838.0,42168.0,20249.0,7953.0,3689.0,95066.0,1914.0,47652.0,1971.0,42695.0,15423.0,6491.0,91786.0,27558.0,2619.0,34155.0,3711.0,2895.0,8679.0,158425.0,19974.0,407.0,41252.0,120345.0,159330.0,1180.0,51356.0,41277.0,2035305.0,939270.0,980.0,1240.0,579.0,504.0,9883.0,9412.0,108206.0,680.0,1745.0,97833.0,3052.0,217877.0,402.0,5918.0,3327.0,7643.0,14637.0,2067.0,1986.0,35903.0,10214.0,18721.0,2266.0,982.0,926.0,1171309
group_1,4.769,92.05759,,Bicyclo[3.2.0]hept-6-ene,4927-03-1,C7 H10,94.2,82.7,100,623,707,100,94.07825,94.0777,,,,True,False,False,mainlib,mainlib60777,60777,1014,SemiStandardNonPolar,,,633,108,10628,617.5,21903,102169,14956,20670,2235,58302,58463,4692,1401.0,7080.0,44890.0,543.0,40520.0,52954.0,5992.0,35362.0,39558.0,1521.0,54290.0,1744.0,77885.0,54877.0,1809.0,69391.0,83610.0,65493.0,23075.0,5316.0,164437.0,35389.0,964.0,137853.0,90404.0,68559.0,23166.0,21270.0,183808.0,417368.0,1303931.0,1501393.0,16567.0,9131.0,529020.0,99582.0,719076.0,109187.0,246905.0,20674.0,295437.0,5771130.0,1505547.0,28081.0,79.5,13583.0,163046.0,649.0,76293.0,1947.0,70429.0,39670.0,44789.0,31249.0,6667.0,102997.0,87078.0,77.5,10114.0,57772.0,8735.0,66980.0,2349.0,19209.0,101298.0,947.0,34838.0,42168.0,20249.0,7953.0,3689.0,95066.0,1914.0,47652.0,1971.0,42695.0,15423.0,6491.0,91786.0,27558.0,2619.0,34155.0,3711.0,2895.0,8679.0,158425.0,19974.0,407.0,41252.0,120345.0,159330.0,1180.0,51356.0,41277.0,2035305.0,939270.0,980.0,1240.0,579.0,504.0,9883.0,9412.0,108206.0,680.0,1745.0,97833.0,3052.0,217877.0,402.0,5918.0,3327.0,7643.0,14637.0,2067.0,1986.0,35903.0,10214.0,18721.0,2266.0,982.0,926.0,1171309
group_1,4.769,92.05759,,"Hexane, 1-chloro-5-methyl-",33240-56-1,C7 H15 Cl,90.1,82.7,95,849,946,66,134.08623,134.08568,,,,False,False,False,mainlib,mainlib73145,73145,,,,,633,108,10628,617.5,21903,102169,14956,20670,2235,58302,58463,4692,1401.0,7080.0,44890.0,543.0,40520.0,52954.0,5992.0,35362.0,39558.0,1521.0,54290.0,1744.0,77885.0,54877.0,1809.0,69391.0,83610.0,65493.0,23075.0,5316.0,164437.0,35389.0,964.0,137853.0,90404.0,68559.0,23166.0,21270.0,183808.0,417368.0,1303931.0,1501393.0,16567.0,9131.0,529020.0,99582.0,719076.0,109187.0,246905.0,20674.0,295437.0,5771130.0,1505547.0,28081.0,79.5,13583.0,163046.0,649.0,76293.0,1947.0,70429.0,39670.0,44789.0,31249.0,6667.0,102997.0,87078.0,77.5,10114.0,57772.0,8735.0,66980.0,2349.0,19209.0,101298.0,947.0,34838.0,42168.0,20249.0,7953.0,3689.0,95066.0,1914.0,47652.0,1971.0,42695.0,15423.0,6491.0,91786.0,27558.0,2619.0,34155.0,3711.0,2895.0,8679.0,158425.0,19974.0,407.0,41252.0,120345.0,159330.0,1180.0,51356.0,41277.0,2035305.0,939270.0,980.0,1240.0,579.0,504.0,9883.0,9412.0,108206.0,680.0,1745.0,97833.0,3052.0,217877.0,402.0,5918.0,3327.0,7643.0,14637.0,2067.0,1986.0,35903.0,10214.0,18721.0,2266.0,982.0,926.0,1171309
group_1,4.769,92.05759,,"Octane, 1-chloro-",111-85-3,C8 H17 Cl,88.8,95.7,95,792,878,66,148.10188,148.10133,,,,True,False,False,replib,replib16183,16183,1059,SemiStandardNonPolar,,,633,108,10628,617.5,21903,102169,14956,20670,2235,58302,58463,4692,1401.0,7080.0,44890.0,543.0,40520.0,52954.0,5992.0,35362.0,39558.0,1521.0,54290.0,1744.0,77885.0,54877.0,1809.0,69391.0,83610.0,65493.0,23075.0,5316.0,164437.0,35389.0,964.0,137853.0,90404.0,68559.0,23166.0,21270.0,183808.0,417368.0,1303931.0,1501393.0,16567.0,9131.0,529020.0,99582.0,719076.0,109187.0,246905.0,20674.0,295437.0,5771130.0,1505547.0,28081.0,79.5,13583.0,163046.0,649.0,76293.0,1947.0,70429.0,39670.0,44789.0,31249.0,6667.0,102997.0,87078.0,77.5,10114.0,57772.0,8735.0,66980.0,2349.0,19209.0,101298.0,947.0,34838.0,42168.0,20249.0,7953.0,3689.0,95066.0,1914.0,47652.0,1971.0,42695.0,15423.0,6491.0,91786.0,27558.0,2619.0,34155.0,3711.0,2895.0,8679.0,158425.0,19974.0,407.0,41252.0,120345.0,159330.0,1180.0,51356.0,41277.0,2035305.0,939270.0,980.0,1240.0,579.0,504.0,9883.0,9412.0,108206.0,680.0,1745.0,97833.0,3052.0,217877.0,402.0,5918.0,3327.0,7643.0,14637.0,2067.0,1986.0,35903.0,10214.0,18721.0,2266.0,982.0,926.0,1171309
group_1,4.769,92.05759,,"Heptane, 1-chloro-",629-06-1,C7 H15 Cl,88.4,82.7,95,774,861,66,134.08623,134.08568,,,,True,False,False,replib,replib16198,16198,958,SemiStandardNonPolar,,,633,108,10628,617.5,21903,102169,14956,20670,2235,58302,58463,4692,1401.0,7080.0,44890.0,543.0,40520.0,52954.0,5992.0,35362.0,39558.0,1521.0,54290.0,1744.0,77885.0,54877.0,1809.0,69391.0,83610.0,65493.0,23075.0,5316.0,164437.0,35389.0,964.0,137853.0,90404.0,68559.0,23166.0,21270.0,183808.0,417368.0,1303931.0,1501393.0,16567.0,9131.0,529020.0,99582.0,719076.0,109187.0,246905.0,20674.0,295437.0,5771130.0,1505547.0,28081.0,79.5,13583.0,163046.0,649.0,76293.0,1947.0,70429.0,39670.0,44789.0,31249.0,6667.0,102997.0,87078.0,77.5,10114.0,57772.0,8735.0,66980.0,2349.0,19209.0,101298.0,947.0,34838.0,42168.0,20249.0,7953.0,3689.0,95066.0,1914.0,47652.0,1971.0,42695.0,15423.0,6491.0,91786.0,27558.0,2619.0,34155.0,3711.0,2895.0,8679.0,158425.0,19974.0,407.0,41252.0,120345.0,159330.0,1180.0,51356.0,41277.0,2035305.0,939270.0,980.0,1240.0,579.0,504.0,9883.0,9412.0,108206.0,680.0,1745.0,97833.0,3052.0,217877.0,402.0,5918.0,3327.0,7643.0,14637.0,2067.0,1986.0,35903.0,10214.0,18721.0,2266.0,982.0,926.0,1171309
group_1,4.769,92.05759,,"Nonane, 1-chloro-",2473-01-0,C9 H19 Cl,87.7,95.7,95,740,822,66,162.11753,162.11698,,,,True,False,False,mainlib,mainlib11433,11433,1159,SemiStandardNonPolar,,,633,108,10628,617.5,21903,102169,14956,20670,2235,58302,58463,4692,1401.0,7080.0,44890.0,543.0,40520.0,52954.0,5992.0,35362.0,39558.0,1521.0,54290.0,1744.0,77885.0,54877.0,1809.0,69391.0,83610.0,65493.0,23075.0,5316.0,164437.0,35389.0,964.0,137853.0,90404.0,68559.0,23166.0,21270.0,183808.0,417368.0,1303931.0,1501393.0,16567.0,9131.0,529020.0,99582.0,719076.0,109187.0,246905.0,20674.0,295437.0,5771130.0,1505547.0,28081.0,79.5,13583.0,163046.0,649.0,76293.0,1947.0,70429.0,39670.0,44789.0,31249.0,6667.0,102997.0,87078.0,77.5,10114.0,57772.0,8735.0,66980.0,2349.0,19209.0,101298.0,947.0,34838.0,42168.0,20249.0,7953.0,3689.0,95066.0,1914.0,47652.0,1971.0,42695.0,15423.0,6491.0,91786.0,27558.0,2619.0,34155.0,3711.0,2895.0,8679.0,158425.0,19974.0,407.0,41252.0,120345.0,159330.0,1180.0,51356.0,41277.0,2035305.0,939270.0,980.0,1240.0,579.0,504.0,9883.0,9412.0,108206.0,680.0,1745.0,97833.0,3052.0,217877.0,402.0,5918.0,3327.0,7643.0,14637.0,2067.0,1986.0,35903.0,10214.0,18721.0,2266.0,982.0,926.0,1171309
