Checked,Tags,Name,Calc. MW,RT [min],Reference m/z,Avg TIC,Calculated RI,# Adducts,MS2,MS Depth,Sample1,Sample2,blank_10,Sample49,Sample50,Sample51,Sample52,Sample55,Sample57,blank_11,Sample58,Sample59,blank_12,Sample71,blank_13,Sample77,Sample78,Sample79,Sample80,Sample81,blank_14,Sample84,blank_15,Sample87,Sample88,Sample90,Sample91,blank_1,Sample3,Sample4,Sample5,Sample6,Sample7,blank_2,Sample10,Sample12,Sample14,Sample15,blank_3,Sample19,blank_4,Sample23,blank_5,Sample27,Sample28,blank_6,Sample37,Sample38,Sample40,blank_7,Sample44,blank_8,Sample46,blank_9,QC_1,QC_2,QC_3,QC_4,QC_8,QC_9,QC_10,QC_11,QC_12,QC_13,QC_14,QC_15,QC_5,QC_6,QC_7,tracers_1,tracers_2,tracers_3,tracers_4,tracers_5
False,,,154.07842,4.771,65.03865,107635,,2,No MS2,1,1707.0,7832.0,4945.0,1179.0,127775.0,2652.0,11114.0,6193.0,865.0,1283.0,2092.0,96367.0,5271.0,,5323.0,14134.0,958.0,71689.0,24735.0,29552.0,18504.0,14649.0,10710.0,29425.0,52041.0,29634.0,107619.0,16244.0,100684.0,21244.0,3927.0,3087.0,4882.0,3127.0,2857.0,1444.0,5718.0,4993.0,973.0,4189.0,2378.0,17735.0,15697.0,28554.0,938.0,1328.0,3695.0,5330.0,10129.0,1925.0,10029.0,1908.0,1994.0,4038.0,5046.0,9133.0,3568.0,4390.0,2066.0,2359.0,849.0,964.0,,7074.0,2351.0,3165.0,5305.0,4414.0,5598.0,2644176.0,,,208375.0,91618.0
False,,,146.10954,4.771,145.10107,52468,,3,No MS2,1,2113.0,10122.0,5062.0,2370.0,3963.0,4385.0,15898.0,8321.0,1731.0,657.0,4530.0,,6962.0,1673.0,806.0,4394.0,1724.0,7238.0,4190.0,5842.0,1942.0,3080.0,2926.0,6471.0,9306.0,5160.0,5093.0,1320.0,3620.0,3050.0,5030.0,5134.0,7078.0,4882.0,2186.0,2613.0,7773.0,10634.0,1155.0,3585.0,3993.0,5177.0,1596.0,1543.0,1907.0,1896.0,873.0,1900.0,8306.0,5943.0,2995.0,1807.0,1873.0,2977.0,3500.0,5884.0,2798.0,6287.0,1587.0,5219.0,1781.0,4008.0,2028.0,10671.0,3825.0,11487.0,4766.0,5822.0,10576.0,,,,,
False,,,172.12523,4.772,111.11691,751533,,1,No MS2,1,6686.0,20741.0,20398.0,3183.0,1478011.0,10111.0,600470.0,13540.0,6458.0,3106.0,,219021.0,27846.0,2427.0,13035.0,345650.0,3967.0,231632.0,250084.0,221091.0,258657.0,141061.0,140878.0,641124.0,545767.0,331521.0,1590160.0,295794.0,1450543.0,209805.0,12382.0,14737.0,10340.0,13494.0,16866.0,6510.0,20101.0,20366.0,,317081.0,41259.0,306605.0,342731.0,713865.0,6514.0,5470.0,106394.0,22746.0,48166.0,21570.0,203145.0,13900.0,8533.0,34362.0,58745.0,150708.0,34328.0,11549.0,3912.0,15333.0,3358.0,9052.0,12306.0,20207.0,8974.0,11936.0,55410.0,11720.0,34117.0,17944439.0,,,481124.0,218689.0
False,,,172.12534,4.772,131.08562,10543,,1,No MS2,1,2782.0,15929.0,7055.0,3465.0,3719.0,3900.0,8248.0,6415.0,3590.0,1790.0,3622.0,,10443.0,2245.0,2067.0,7002.0,1375.0,,10360.0,6705.0,1962.0,3213.0,5829.0,5729.0,2711.0,7833.0,,1082.0,11392.0,2982.0,9618.0,6243.0,6600.0,7527.0,6867.0,3648.0,8525.0,9016.0,777.0,4430.0,4275.0,5894.0,1302.0,,1586.0,4701.0,,7059.0,5097.0,4518.0,2931.0,4205.0,3260.0,1968.0,5537.0,4886.0,5357.0,8944.0,3183.0,13483.0,2874.0,2411.0,5735.0,12118.0,2877.0,7117.0,6161.0,672.0,10920.0,,,,,
False,,,170.10968,4.773,145.10115,69376,,2,No MS2,1,2113.0,10122.0,5062.0,2370.0,3963.0,4385.0,15898.0,8321.0,1731.0,657.0,4530.0,,6962.0,1673.0,806.0,4394.0,1724.0,7238.0,4190.0,5842.0,1942.0,3080.0,2926.0,6471.0,9306.0,5160.0,5093.0,1320.0,3620.0,3050.0,5030.0,5134.0,7078.0,4882.0,2186.0,2613.0,7773.0,10634.0,1155.0,3585.0,3993.0,5177.0,1596.0,1543.0,1907.0,1896.0,873.0,1900.0,8306.0,5943.0,2995.0,1807.0,1873.0,2977.0,3500.0,5884.0,2798.0,6287.0,1587.0,5219.0,1781.0,4008.0,2028.0,10671.0,3825.0,11487.0,4766.0,5822.0,10576.0,,,,,
False,,,120.09409,4.773,106.07791,6777,,2,No MS2,1,1682.0,11881.0,1617.0,721.0,2724.0,2412.0,7466.0,4503.0,2191.0,2284.0,2682.0,,5310.0,1464.0,1582.0,1281.0,3464.0,,1830.0,6816.0,2267.0,,1225.0,3629.0,4617.0,2055.0,12885.0,1540.0,1981.0,4217.0,4101.0,2028.0,4318.0,3980.0,2865.0,1550.0,5124.0,5410.0,1552.0,4406.0,3848.0,1980.0,1794.0,,1134.0,2568.0,2325.0,3703.0,4488.0,4060.0,1600.0,1637.0,1771.0,2548.0,2513.0,2703.0,3650.0,2980.0,2975.0,9903.0,2262.0,1999.0,2752.0,3896.0,3015.0,5847.0,6146.0,5433.0,7759.0,,,,,
False,,,216.18823,4.774,145.10149,56721,,1,No MS2,1,2113.0,10122.0,5062.0,2370.0,3963.0,4385.0,15898.0,8321.0,1731.0,657.0,4530.0,,6962.0,1673.0,806.0,4394.0,1724.0,7238.0,4190.0,5842.0,1942.0,3080.0,2926.0,6471.0,9306.0,5160.0,5093.0,1320.0,3620.0,3050.0,5030.0,5134.0,7078.0,4882.0,2186.0,2613.0,7773.0,10634.0,1155.0,3585.0,3993.0,5177.0,1596.0,1543.0,1907.0,1896.0,873.0,1900.0,8306.0,5943.0,2995.0,1807.0,1873.0,2977.0,3500.0,5884.0,2798.0,6287.0,1587.0,5219.0,1781.0,4008.0,2028.0,10671.0,3825.0,11487.0,4766.0,5822.0,10576.0,,,,,
False,,,190.17235,4.774,143.08571,98063,,2,No MS2,1,2275.0,5298.0,2474.0,1260.0,3203.0,2106.0,3005.0,4417.0,813.0,,1749.0,,5360.0,936.0,2462.0,2658.0,678.0,2363.0,3624.0,2182.0,1009.0,733.0,1199.0,4495.0,1743.0,1937.0,2788.0,,6507.0,3489.0,3474.0,3773.0,1509.0,1183.0,1799.0,1376.0,3510.0,3584.0,529.0,,1630.0,1906.0,1082.0,,904.0,1685.0,543.0,6487.0,3800.0,3080.0,1351.0,1213.0,724.0,1671.0,2627.0,2097.0,1901.0,2326.0,1725.0,2521.0,759.0,2947.0,1406.0,5174.0,1190.0,2344.0,1506.0,7390.0,7381.0,,,,,
False,,,68.06279,4.775,70.07788,5057939,,2,No MS2,1,3599.0,21593.0,57313.0,1748.0,890753.0,4123.0,42937.0,9424.0,2709.0,2286.0,126186.0,7611508.0,82825.0,2314.0,35270.0,598813.0,1177.0,588411.0,577820.0,344051.0,438753.0,204146.0,189647.0,1052803.0,1293589.0,532839.0,3099777.0,121954.0,2839358.0,374181.0,3654.0,10604.0,44240.0,9038.0,16941.0,2524.0,7308.0,13991.0,2875.0,17012.0,14706.0,109429.0,140299.0,221763.0,11232.0,14353.0,42785.0,18338.0,189176.0,51777.0,69100.0,14823.0,10397.0,55061.0,91266.0,357973.0,50043.0,6867.0,8064.0,21811.0,2696.0,5141.0,10500.0,47357.0,6128.0,9537.0,109550.0,33530.0,139288.0,93343556.0,75776188.0,35455202.0,11874676.0,5542376.0
False,,,80.06268,4.775,67.05427,2508552,,3,No MS2,1,26708.0,153128.0,108307.0,10777.0,5165100.0,62086.0,251876.0,108737.0,29916.0,27504.0,113217.0,1289663.0,95739.0,10144.0,372754.0,195084.0,7413.0,802304.0,380622.0,243991.0,200222.0,160768.0,129646.0,304158.0,585741.0,311285.0,1036431.0,751818.0,851285.0,208230.0,106398.0,112606.0,80326.0,82521.0,47715.0,33897.0,108132.0,129963.0,10424.0,83089.0,66881.0,600840.0,949563.0,1710652.0,31449.0,21664.0,303027.0,117652.0,159923.0,33409.0,547778.0,38295.0,31758.0,32188.0,114283.0,420603.0,83937.0,77603.0,23874.0,127897.0,28088.0,55739.0,54576.0,304225.0,48585.0,63625.0,152010.0,83768.0,151393.0,49118174.0,21901710.0,,1836565.0,979759.0
